salary,location,remaining_term,age,interest_rate,marital_status,is_employed,loan_status
7.47969239126137,9,29,44,0.23,1,1,1
7.822680826721034,1,41,39,0.22,2,1,1
8.152474090128496,2,59,44,0.21,2,1,1
8.070041597340428,18,65,40,0.19,2,1,1
7.830686887966506,14,61,46,0.2,2,1,1
7.902019336490183,16,59,49,0.21,3,1,1
8.052395758394427,9,60,45,0.23,2,1,1
7.762093541660465,5,41,46,0.22,2,1,1
7.728986627965353,6,40,39,0.22,1,1,1
8.038430072479047,5,58,41,0.22,1,1,1
7.585181727703384,17,46,44,0.21,2,1,1
7.700621512931598,22,71,47,0.24,2,1,0
7.774167939703386,15,43,49,0.22,3,1,1
7.633397606829538,4,52,49,0.2,3,1,1
8.16868242008538,8,56,41,0.23,2,1,1
7.835601974654209,6,45,50,0.22,3,1,1
8.213801639456516,9,68,44,0.22,1,1,1
7.627624979469679,21,39,46,0.2,3,1,1
7.921064546355455,8,50,48,0.24,2,1,1
7.921342238327395,2,57,44,0.24,2,1,1
7.80672761379845,16,45,42,0.21,2,1,1
7.826901674226522,2,45,43,0.2,3,1,1
7.933316171805204,6,45,34,0.2,1,1,0
7.818747572294228,3,50,47,0.22,3,1,1
8.109184171754828,8,62,44,0.21,2,1,1
7.7309467142634505,17,39,43,0.24,1,1,1
7.944859950105037,2,57,46,0.22,2,1,1
7.554883646314885,21,36,43,0.22,2,1,0
8.01810210388447,16,56,43,0.21,2,1,1
7.88004473261844,17,49,47,0.24,1,1,1
7.726002577081804,17,45,43,0.21,2,1,1
6.856817382579787,1,18,45,0.24,2,1,1
8.218733516251508,6,74,47,0.22,2,1,1
7.908367038092228,17,73,46,0.18,3,1,1
7.742575362581956,9,39,42,0.21,2,1,1
8.123939456072014,17,52,41,0.22,2,1,1
8.074343530909237,19,49,34,0.22,1,1,0
7.732936568669497,9,44,45,0.23,2,1,1
7.604103418846487,13,51,38,0.17,2,1,0
7.777367313531049,21,44,42,0.19,3,1,1
7.942485547957232,9,65,52,0.21,3,1,1
7.832740302932718,17,51,47,0.22,2,1,0
8.147066735074295,9,68,50,0.23,2,1,1
7.936986297983715,3,44,44,0.21,3,1,1
7.738698133304973,6,75,36,0.2,1,1,1
8.08316408201042,15,54,43,0.21,2,1,1
7.862922384246254,6,55,51,0.21,3,1,1
8.111790806329916,15,54,33,0.22,1,1,1
8.360739555172238,1,67,40,0.23,2,1,1
8.071907035837697,15,65,40,0.23,1,1,1
7.80353579147427,16,46,45,0.2,2,1,1
7.705628421341254,15,37,44,0.24,2,1,1
7.777846936357228,6,45,39,0.21,1,1,1
7.741833259910619,7,41,43,0.21,1,1,1
8.137146144590043,19,79,48,0.21,2,1,1
7.949145033347446,4,54,41,0.22,1,1,1
7.967872963706018,9,67,40,0.18,3,1,0
8.096065149703225,12,43,39,0.27,1,1,1
8.069101531410743,1,64,43,0.22,2,1,1
8.09965889279143,16,56,42,0.2,2,1,1
7.876333918555556,15,50,48,0.21,2,1,1
7.967209554928858,9,59,43,0.22,1,1,1
7.7217929842252495,6,38,42,0.23,2,1,1
8.211188924496826,2,78,48,0.24,2,1,1
7.748830382586254,2,53,47,0.22,2,0,1
7.912705548191413,24,51,46,0.18,3,1,1
8.099805342388812,15,54,43,0.23,2,1,1
7.677261969614237,2,39,42,0.21,2,1,1
7.816623884477518,3,49,46,0.19,3,1,1
8.125047824331531,2,60,48,0.22,2,1,1
7.636777604886178,2,36,46,0.22,2,1,1
7.645883512860583,18,38,50,0.23,3,1,1
7.6049018764808745,19,35,51,0.21,3,1,1
8.009817862025322,6,51,47,0.2,3,1,1
7.57075438265178,18,32,50,0.23,2,0,1
7.9311208140733696,9,64,48,0.2,3,1,1
7.834913215308171,8,43,46,0.2,3,1,1
7.898633581275352,3,62,51,0.2,3,1,1
8.306296438475114,2,71,39,0.21,2,1,1
8.156392786457918,17,61,45,0.21,3,1,1
7.845564305486112,14,50,50,0.2,3,1,1
7.818404263658612,6,40,38,0.21,2,1,1
7.831104526394845,17,45,43,0.21,2,1,1
7.629082245614767,9,36,47,0.23,2,1,1
8.006464020560927,4,52,41,0.19,2,1,1
7.957620133239165,15,63,41,0.21,1,1,1
8.03502180923398,5,54,41,0.21,1,1,1
7.390024650107306,1,25,44,0.21,2,1,1
7.584113975923666,19,52,46,0.18,3,1,0
7.556782788035827,9,43,41,0.15,2,1,0
7.998047681858737,1,59,49,0.21,2,0,1
7.850508832652963,9,46,46,0.22,2,1,1
7.989806663999396,15,57,43,0.2,2,1,1
7.802203763676459,21,43,43,0.22,2,1,1
7.743460816632746,10,77,48,0.19,2,1,0
7.991797785131559,6,59,44,0.21,2,1,1
8.251410199625054,16,68,43,0.22,1,1,1
7.5620624405475025,2,33,41,0.2,2,1,1
7.673035875038701,6,37,44,0.22,2,1,1
8.013566926519372,13,72,41,0.21,2,1,0
7.81821970515045,17,46,48,0.22,2,1,1
7.893602583708303,16,47,45,0.22,2,1,1
8.032076397334095,16,69,52,0.2,3,1,1
8.071687403229234,9,63,46,0.24,1,1,1
7.918882964701851,4,68,46,0.23,2,1,1
7.660569301316568,9,40,42,0.22,1,1,1
8.292242712664734,6,60,41,0.25,1,1,1
7.758618933533733,16,59,45,0.21,2,1,1
8.23109302138606,19,61,38,0.2,2,1,1
8.307785703038435,9,66,38,0.19,2,1,1
7.833580000612068,16,48,44,0.21,2,1,1
7.730146356142378,17,38,40,0.21,1,1,1
8.017071685738221,17,52,43,0.23,1,1,1
7.60266606913382,14,75,45,0.19,2,1,0
7.981886027312844,11,50,43,0.21,3,1,1
7.873513355840467,16,52,47,0.19,3,1,1
7.584251119393098,21,33,46,0.24,1,1,1
7.689166720583557,21,62,45,0.21,2,1,1
7.844612802215967,14,54,47,0.18,3,1,1
7.775864711332951,16,56,47,0.2,3,1,1
8.084634264466475,11,65,49,0.22,2,0,1
7.974115182439153,17,52,46,0.23,2,1,1
8.011719440058055,3,57,40,0.22,1,1,1
7.680035558766287,8,45,53,0.21,3,0,1
7.753142313823518,17,48,42,0.21,3,1,1
8.14824016309622,5,59,41,0.23,1,1,0
7.6505149984184,21,38,51,0.21,3,1,1
7.593945999307524,17,39,52,0.21,3,1,1
7.752474562997086,2,48,51,0.22,3,1,1
